CODGEO;HT22;HT022;HT122;HT222;HT322;HT422;HT522;HTCH22;HTCH022;HTCH122;HTCH222;HTCH322;HTCH422;HTCH522;CPG22;CPG022;CPG122;CPG222;CPG322;CPG422;CPG522;CPGE22;CPGE022;CPGE122;CPGE222;CPGE322;CPGE422;CPGE522;CPGEL22;CPGEL022;CPGEL122;CPGEL222;CPGEL322;CPGEL422;CPGEL522;CPGEO22;CPGEO022;CPGEO122;CPGEO222;CPGEO322;CPGEO422;CPGEO522;VV22;VVUH22;VVLIT22;RT22;RTUH22;RTLIT22;AJCS22;AJCSUH22;AJCSLIT22
85226;5;3;0;0;2;0;0;145;40;0;0;105;0;0;37;0;0;5;13;16;3;7023;0;0;440;2478;3078;1027;3272;0;0;318;1007;1609;338;3751;0;0;122;1471;1469;689;6;373;2064;1;86;478;0;0;0
85227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;168;0;0;0;0;168;0;7;0;0;0;0;7;0;161;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0
85232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85234;9;3;0;3;3;0;0;227;27;0;68;132;0;0;44;0;2;6;11;21;4;8409;0;213;537;1365;5045;1249;3100;0;0;380;257;1904;559;5309;0;213;157;1108;3141;690;2;70;262;7;488;2176;0;0;0
85235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;1137;0;0;0;0;387;750;20;0;0;0;0;17;3;1117;0;0;0;0;370;747;0;0;0;0;0;0;0;0;0
85237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85238;2;0;0;0;1;1;0;48;0;0;0;18;30;0;1;0;0;0;0;1;0;92;0;0;0;0;92;0;0;0;0;0;0;0;0;92;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0
85239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;103;0;0;0;103;0;0;0;0;0;0;0;0;0;103;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0
85242;1;0;0;0;1;0;0;40;0;0;0;40;0;0;1;0;1;0;0;0;0;53;0;53;0;0;0;0;0;0;0;0;0;0;0;53;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0
85243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;1;1;1153;0;0;0;246;381;526;310;0;0;0;102;50;158;843;0;0;0;144;331;368;0;0;0;0;0;0;0;0;0
85244;1;0;0;1;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;186;0;0;0;0;186;0;59;0;0;0;0;59;0;127;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0
85250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
